network_id,station_id,stage,reason
gkd_bayern_donau,10060455,model_fit,insufficient_outer_training_days_or_no_donors
gkd_bayern_donau,10077900,model_fit,insufficient_outer_training_days_or_no_donors
gkd_bayern_isar,16000708,model_fit,insufficient_outer_training_days_or_no_donors
lubw_neckar,CYY125,model_fit,insufficient_outer_training_days_or_no_donors
huc8_10020007,06036805,donor_pruning,pruned_1_of_7
huc8_10020007,06036905,donor_pruning,pruned_1_of_7
huc8_10020007,06036940,donor_pruning,pruned_1_of_7
huc8_10020007,06037100,donor_pruning,pruned_7_of_7
huc8_10020007,06037100,model_fit,no_donor_with_evaluation_support
huc8_10020007,06037500,donor_pruning,pruned_1_of_7
huc8_10020007,06038500,donor_pruning,pruned_1_of_7
huc8_10020007,06038800,donor_pruning,pruned_1_of_7
huc8_10020007,06041000,donor_pruning,pruned_1_of_7
huc8_17090012,14211400,donor_pruning,pruned_1_of_6
huc8_17090012,14211499,donor_pruning,pruned_2_of_6
huc8_17090012,14211500,donor_pruning,pruned_1_of_6
huc8_17090012,14211542,donor_pruning,pruned_3_of_6
huc8_17090012,14211546,donor_pruning,pruned_6_of_6
huc8_17090012,14211546,model_fit,no_donor_with_evaluation_support
huc8_17090012,14211550,donor_pruning,pruned_2_of_6
huc8_17090012,14211720,donor_pruning,pruned_1_of_6
