date,t2m_deg_c
2012-01-01,1.69
2012-01-02,3.7
2012-01-03,2.71
2012-01-04,3.28
2012-01-05,1.71
2012-01-06,0.31
2012-01-07,0.13
2012-01-08,1.27
2012-01-09,1.14
2012-01-10,1.46
2012-01-11,1.26
2012-01-12,2.97
2012-01-13,0.43
2012-01-14,-1.0
2012-01-15,-3.2
2012-01-16,-3.62
2012-01-17,-0.86
2012-01-18,-3.11
2012-01-19,0.46
2012-01-20,-0.29
2012-01-21,-1.06
2012-01-22,1.32
2012-01-23,0.36
2012-01-24,-1.9
2012-01-25,-5.36
2012-01-26,-7.07
2012-01-27,-9.52
2012-01-28,-6.2
2012-01-29,-8.34
2012-01-30,-10.68
2012-01-31,-12.89
2012-02-01,-14.75
2012-02-02,-17.99
2012-02-03,-17.65
2012-02-04,-14.47
2012-02-05,-14.82
2012-02-06,-17.13
2012-02-07,-13.55
2012-02-08,-12.43
2012-02-09,-11.46
2012-02-10,-13.85
2012-02-11,-15.38
2012-02-12,-15.34
2012-02-13,-8.77
2012-02-14,-5.51
2012-02-15,-1.12
2012-02-16,-3.5
2012-02-17,-0.05
2012-02-18,0.51
2012-02-19,0.32
2012-02-20,-2.26
2012-02-21,-3.3
2012-02-22,1.1
2012-02-23,1.07
2012-02-24,4.36
2012-02-25,3.15
2012-02-26,-0.37
2012-02-27,-2.25
2012-02-28,2.52
2012-02-29,5.25
2012-03-01,5.18
2012-03-02,4.0
2012-03-03,0.15
2012-03-04,0.29
2012-03-05,-0.6
2012-03-06,-2.07
2012-03-07,-1.7
2012-03-08,0.11
2012-03-09,1.43
2012-03-10,3.52
2012-03-11,3.93
2012-03-12,4.64
2012-03-13,4.77
2012-03-14,3.96
2012-03-15,3.6
2012-03-16,5.46
2012-03-17,8.46
2012-03-18,9.7
2012-03-19,4.31
2012-03-20,4.11
2012-03-21,6.24
2012-03-22,7.39
2012-03-23,8.66
2012-03-24,9.9
2012-03-25,7.66
2012-03-26,4.65
2012-03-27,6.88
2012-03-28,8.77
2012-03-29,5.54
2012-03-30,5.33
2012-03-31,4.07
2012-04-01,1.57
2012-04-02,3.9
2012-04-03,7.15
2012-04-04,8.24
2012-04-05,5.05
2012-04-06,3.44
2012-04-07,1.54
2012-04-08,-0.8
2012-04-09,2.21
2012-04-10,6.39
2012-04-11,7.33
2012-04-12,4.42
2012-04-13,5.7
2012-04-14,6.19
2012-04-15,6.51
2012-04-16,4.02
2012-04-17,3.74
2012-04-18,5.06
2012-04-19,7.67
2012-04-20,8.7
2012-04-21,9.16
2012-04-22,6.76
2012-04-23,7.08
2012-04-24,8.87
2012-04-25,8.51
2012-04-26,11.97
2012-04-27,15.34
2012-04-28,16.9
2012-04-29,17.97
2012-04-30,17.43
2012-05-01,18.41
2012-05-02,19.03
2012-05-03,16.14
2012-05-04,14.63
2012-05-05,14.37
2012-05-06,9.94
2012-05-07,10.34
2012-05-08,11.85
2012-05-09,14.39
2012-05-10,17.18
2012-05-11,20.22
2012-05-12,11.23
2012-05-13,6.48
2012-05-14,8.79
2012-05-15,10.88
2012-05-16,7.99
2012-05-17,6.51
2012-05-18,8.0
2012-05-19,12.81
2012-05-20,16.04
2012-05-21,18.02
2012-05-22,19.41
2012-05-23,20.11
2012-05-24,17.57
2012-05-25,14.18
2012-05-26,14.46
2012-05-27,15.88
2012-05-28,15.91
2012-05-29,16.78
2012-05-30,14.44
2012-05-31,14.92
2012-06-01,12.36
2012-06-02,11.14
2012-06-03,12.87
2012-06-04,12.31
2012-06-05,9.87
2012-06-06,11.27
2012-06-07,16.45
2012-06-08,18.06
2012-06-09,16.28
2012-06-10,13.65
2012-06-11,14.68
2012-06-12,16.0
2012-06-13,14.44
2012-06-14,12.96
2012-06-15,15.78
2012-06-16,21.09
2012-06-17,19.56
2012-06-18,23.02
2012-06-19,20.25
2012-06-20,20.69
2012-06-21,20.02
2012-06-22,18.88
2012-06-23,17.87
2012-06-24,19.76
2012-06-25,15.44
2012-06-26,14.21
2012-06-27,16.53
2012-06-28,19.18
2012-06-29,22.73
2012-06-30,24.33
2012-07-01,23.23
2012-07-02,21.29
2012-07-03,20.62
2012-07-04,20.48
2012-07-05,22.7
2012-07-06,23.15
2012-07-07,20.77
2012-07-08,20.96
2012-07-09,19.52
2012-07-10,19.98
2012-07-11,18.23
2012-07-12,14.97
2012-07-13,13.36
2012-07-14,17.09
2012-07-15,15.54
2012-07-16,13.65
2012-07-17,14.91
2012-07-18,17.29
2012-07-19,18.6
2012-07-20,15.47
2012-07-21,14.62
2012-07-22,13.29
2012-07-23,16.56
2012-07-24,20.03
2012-07-25,20.0
2012-07-26,22.55
2012-07-27,24.22
2012-07-28,24.04
2012-07-29,20.01
2012-07-30,18.27
2012-07-31,18.96
2012-08-01,19.13
2012-08-02,23.06
2012-08-03,20.47
2012-08-04,21.18
2012-08-05,20.84
2012-08-06,21.96
