date,t2m_deg_c
2012-01-01,-1.95
2012-01-02,0.24
2012-01-03,1.09
2012-01-04,0.54
2012-01-05,0.17
2012-01-06,0.12
2012-01-07,-1.52
2012-01-08,0.0
2012-01-09,-0.69
2012-01-10,0.3
2012-01-11,0.07
2012-01-12,1.57
2012-01-13,-0.22
2012-01-14,-1.73
2012-01-15,-4.03
2012-01-16,-4.77
2012-01-17,-2.28
2012-01-18,-3.7
2012-01-19,-0.57
2012-01-20,-0.75
2012-01-21,-2.49
2012-01-22,0.73
2012-01-23,-0.1
2012-01-24,-2.66
2012-01-25,-5.81
2012-01-26,-7.9
2012-01-27,-10.38
2012-01-28,-7.87
2012-01-29,-9.45
2012-01-30,-12.09
2012-01-31,-14.46
2012-02-01,-16.05
2012-02-02,-18.51
2012-02-03,-20.18
2012-02-04,-17.57
2012-02-05,-14.78
2012-02-06,-15.66
2012-02-07,-13.21
2012-02-08,-14.74
2012-02-09,-12.36
2012-02-10,-13.39
2012-02-11,-15.55
2012-02-12,-15.46
2012-02-13,-11.95
2012-02-14,-8.58
2012-02-15,-2.75
2012-02-16,-4.81
2012-02-17,-2.47
2012-02-18,-1.26
2012-02-19,-1.27
2012-02-20,-3.45
2012-02-21,-4.41
2012-02-22,-0.55
2012-02-23,0.23
2012-02-24,3.02
2012-02-25,2.72
2012-02-26,0.03
2012-02-27,-2.63
2012-02-28,0.49
2012-02-29,4.74
2012-03-01,5.15
2012-03-02,4.78
2012-03-03,-0.34
2012-03-04,-0.76
2012-03-05,-1.43
2012-03-06,-3.15
2012-03-07,-3.3
2012-03-08,-2.17
2012-03-09,0.74
2012-03-10,1.66
2012-03-11,2.26
2012-03-12,2.56
2012-03-13,4.05
2012-03-14,3.48
2012-03-15,4.25
2012-03-16,4.46
2012-03-17,6.85
2012-03-18,7.76
2012-03-19,4.61
2012-03-20,4.04
2012-03-21,6.6
2012-03-22,7.75
2012-03-23,8.85
2012-03-24,9.29
2012-03-25,8.81
2012-03-26,3.24
2012-03-27,6.62
2012-03-28,8.75
2012-03-29,5.72
2012-03-30,4.99
2012-03-31,4.76
2012-04-01,0.94
2012-04-02,4.32
2012-04-03,7.83
2012-04-04,11.12
2012-04-05,5.87
2012-04-06,2.75
2012-04-07,3.76
2012-04-08,-0.99
2012-04-09,0.58
2012-04-10,3.88
2012-04-11,7.53
2012-04-12,6.32
2012-04-13,6.58
2012-04-14,7.94
2012-04-15,8.04
2012-04-16,4.81
2012-04-17,3.87
2012-04-18,6.39
2012-04-19,8.36
2012-04-20,9.34
2012-04-21,8.55
2012-04-22,7.78
2012-04-23,7.92
2012-04-24,9.54
2012-04-25,8.47
2012-04-26,11.97
2012-04-27,15.13
2012-04-28,17.27
2012-04-29,18.28
2012-04-30,18.02
2012-05-01,19.94
2012-05-02,20.69
2012-05-03,18.81
2012-05-04,13.56
2012-05-05,14.81
2012-05-06,14.27
2012-05-07,10.3
2012-05-08,10.71
2012-05-09,14.55
2012-05-10,17.85
2012-05-11,19.35
2012-05-12,12.86
2012-05-13,7.93
2012-05-14,9.3
2012-05-15,11.3
2012-05-16,9.05
2012-05-17,7.55
2012-05-18,9.2
2012-05-19,13.16
2012-05-20,16.85
2012-05-21,18.95
2012-05-22,20.01
2012-05-23,20.55
2012-05-24,18.8
2012-05-25,15.21
2012-05-26,14.64
2012-05-27,15.66
2012-05-28,16.03
2012-05-29,17.85
2012-05-30,16.8
2012-05-31,16.13
2012-06-01,13.8
2012-06-02,12.92
2012-06-03,16.87
2012-06-04,15.25
2012-06-05,11.36
2012-06-06,13.06
2012-06-07,17.21
2012-06-08,19.93
2012-06-09,16.41
2012-06-10,16.21
2012-06-11,13.86
2012-06-12,15.87
2012-06-13,15.42
2012-06-14,14.24
2012-06-15,15.0
2012-06-16,20.51
2012-06-17,21.74
2012-06-18,22.97
2012-06-19,22.16
2012-06-20,24.35
2012-06-21,21.92
2012-06-22,19.82
2012-06-23,19.92
2012-06-24,21.43
2012-06-25,17.73
2012-06-26,15.44
2012-06-27,16.57
2012-06-28,19.48
2012-06-29,22.31
2012-06-30,25.68
2012-07-01,27.12
2012-07-02,24.66
2012-07-03,26.11
2012-07-04,24.0
2012-07-05,26.09
2012-07-06,26.07
2012-07-07,24.34
2012-07-08,24.16
2012-07-09,22.6
2012-07-10,22.19
2012-07-11,21.38
2012-07-12,18.76
2012-07-13,12.99
2012-07-14,16.76
2012-07-15,16.02
2012-07-16,14.81
2012-07-17,14.78
2012-07-18,17.83
2012-07-19,20.58
2012-07-20,18.32
2012-07-21,15.72
2012-07-22,15.11
2012-07-23,18.07
2012-07-24,21.87
2012-07-25,20.78
2012-07-26,21.22
2012-07-27,23.82
2012-07-28,24.72
2012-07-29,21.31
2012-07-30,20.21
2012-07-31,21.12
2012-08-01,22.55
2012-08-02,24.0
2012-08-03,22.92
2012-08-04,22.95
2012-08-05,24.04
2012-08-06,25.72
2012-08-07,19.82
2012-08-08,18.59
2012-08-09,18.29
2012-08-10,16.73
2012-08-11,12.96
2012-08-12,14.16
2012-08-13,14.86
2012-08-14,15.76
2012-08-15,17.3
2012-08-16,19.33
2012-08-17,19.49
2012-08-18,20.0
2012-08-19,22.18
2012-08-20,24.79
2012-08-21,22.54
2012-08-22,23.77
2012-08-23,23.51
2012-08-24,24.29
2012-08-25,21.48
2012-08-26,17.4
2012-08-27,16.1
2012-08-28,17.36
2012-08-29,20.56
2012-08-30,21.71
2012-08-31,17.87
2012-09-01,15.64
2012-09-02,17.27
2012-09-03,18.12
2012-09-04,18.67
2012-09-05,18.02
2012-09-06,14.79
2012-09-07,14.75
2012-09-08,16.59
2012-09-09,18.21
2012-09-10,19.36
2012-09-11,20.42
2012-09-12,16.18
2012-09-13,7.69
2012-09-14,11.09
2012-09-15,11.92
2012-09-16,12.99
2012-09-17,14.47
2012-09-18,16.16
2012-09-19,11.77
2012-09-20,9.47
2012-09-21,9.7
2012-09-22,10.4
2012-09-23,9.84
2012-09-24,14.28
2012-09-25,15.09
2012-09-26,16.85
2012-09-27,15.82
2012-09-28,13.08
2012-09-29,13.55
2012-09-30,12.61
2012-10-01,14.89
2012-10-02,13.1
2012-10-03,12.64
2012-10-04,13.47
2012-10-05,10.34
2012-10-06,15.66
2012-10-07,9.88
2012-10-08,6.43
2012-10-09,6.53
2012-10-10,4.9
2012-10-11,4.74
2012-10-12,5.57
2012-10-13,8.78
2012-10-14,9.06
2012-10-15,11.68
2012-10-16,6.97
2012-10-17,6.91
2012-10-18,10.4
2012-10-19,10.14
2012-10-20,10.38
2012-10-21,9.41
2012-10-22,9.65
2012-10-23,8.34
2012-10-24,7.07
2012-10-25,7.15
2012-10-26,4.6
2012-10-27,2.48
2012-10-28,-0.85
2012-10-29,-2.06
2012-10-30,-1.09
2012-10-31,1.42
2012-11-01,4.18
2012-11-02,4.75
2012-11-03,4.9
2012-11-04,8.11
2012-11-05,6.24
2012-11-06,2.96
2012-11-07,3.02
2012-11-08,4.18
2012-11-09,3.77
2012-11-10,3.97
2012-11-11,6.52
2012-11-12,6.48
2012-11-13,4.28
2012-11-14,1.51
2012-11-15,2.19
2012-11-16,2.66
2012-11-17,4.3
2012-11-18,4.48
2012-11-19,4.21
2012-11-20,4.83
2012-11-21,5.05
2012-11-22,4.6
2012-11-23,4.68
2012-11-24,4.67
2012-11-25,5.15
2012-11-26,5.2
