panel,history_years,network_scope,scope,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse
first_panel,2,learning_subset,supported_only,350,12,0.6872761018621257,0.6783216783216784,0.3184963153025093,0.44319781340175063,-0.50297734783542,0.9087899329512625
first_panel,2,learning_subset,all_cells,694,12,0.3651518872476977,0.18181818181818185,0.8055557441978209,0.31451023912968523,-0.3473518113770433,1.3780986486906155
first_panel,4,learning_subset,supported_only,350,12,0.8091734104794691,0.8811188811188813,0.19745004069476293,0.6078262927833015,0.532799030300316,0.5066862952118695
first_panel,4,learning_subset,all_cells,694,12,0.4140601296609098,0.3356643356643357,0.6735363880176393,0.4736933787261756,-0.05307540106104147,1.218342896918917
first_panel,6,learning_subset,supported_only,350,12,0.8291182575906616,0.9300699300699302,0.20912861014240203,0.6062040354020513,0.5471588157629586,0.49883882625837006
first_panel,6,learning_subset,all_cells,694,12,0.43029884012639824,0.34965034965034975,0.6908522228598827,0.46571284678812186,-0.05629322491356814,1.220202888402148
first_panel,8,learning_subset,supported_only,350,12,0.8339804240982478,0.9510489510489512,0.185292148445104,0.6406939988697544,0.6124388109317349,0.4614848304189412
first_panel,8,learning_subset,all_cells,694,12,0.44035235777137444,0.3216783216783217,0.672246396370121,0.4924821216513778,-0.04050063423260597,1.2110469387752252
development,4,learning_subset,supported_only,217,12,0.6137270379843673,0.3636363636363637,0.11938781643306239,0.6925475400142468,0.25049684876699385,0.7493020222072784
development,4,learning_subset,all_cells,420,12,0.40091449154873027,0.41958041958041964,0.6444271757903456,0.5949274149897796,0.01942225729963143,1.4657549901892897
development,6,learning_subset,supported_only,217,12,0.6554820617030551,0.5034965034965035,0.03156801662793781,0.7593927369468755,0.37595046707361657,0.6837222361357486
development,6,learning_subset,all_cells,420,12,0.4420462995019048,0.5314685314685316,0.47557757031757736,0.7089802022419364,0.05774148296866077,1.4368300477222502
development,8,learning_subset,supported_only,217,12,0.6726836082083044,0.6083916083916086,0.07893217678825994,0.7520150963007334,0.4307127069898945,0.653034187770352
development,8,learning_subset,all_cells,420,12,0.46226087160207335,0.6223776223776225,0.5067592076713312,0.7105900290525943,0.06493671522929023,1.4313336060840969
development,2,learning_subset,supported_only,189,10,0.5976303434594972,0.34545454545454546,0.007137318704783867,0.7878761009816978,0.37049769638658225,0.6851151276292381
development,2,learning_subset,all_cells,372,10,0.4069251139129219,0.4424242424242424,0.535719557337731,0.7056421557640978,0.0437137778272676,1.4585485839703405
first_panel,full,all,supported_only,780,42,0.9341048983106937,0.9218863949436837,0.1065654421544471,0.8635904833613768,0.8119853832008911,0.36217894334323014
first_panel,full,all,all_cells,1440,42,0.6333596656792232,0.766631553358723,0.3937119898702933,0.8291303560017649,0.14463461952342094,1.1564160625447537
first_panel,full,learning_subset,supported_only,350,12,0.8929171219245038,0.965034965034965,0.21546332110955885,0.6425107259511333,0.6938682990908112,0.4101487971271612
first_panel,full,learning_subset,all_cells,694,12,0.5143229479273862,0.44755244755244755,0.6400416534745398,0.5480416003043319,0.016820471275179827,1.1772161602165687
development,full,all,supported_only,823,51,0.8179313166354549,0.7870588235294117,0.10101630573101655,0.8562426732323521,0.7078195507136903,0.470329044772292
development,full,all,all_cells,1460,51,0.6804689367825756,0.779366515837104,0.2410272336893934,0.8977644543259341,0.23946355463226632,1.1269410168356653
development,full,learning_subset,supported_only,217,12,0.6751977839127778,0.5804195804195805,0.11271449441049962,0.8100218325120109,0.5172280468719074,0.6013692105087151
development,full,learning_subset,all_cells,420,12,0.46655669744292233,0.6433566433566434,0.5262272903920515,0.7781693141559883,0.05699159457487102,1.4374016784744041
