network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_02070010,01649500,7,DJF,0,2015-01-01,1.840846030626978,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,DJF,1,2015-02-18,0.8219665442194257,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,DJF,2,2015-12-31,1.7421924454825264,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,DJF,3,2016-02-06,0.9624257939202445,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,DJF,4,2016-12-26,1.187043571472168,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,DJF,5,2017-02-02,2.084555121830531,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,DJF,6,2017-12-20,1.3754174436841693,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,DJF,7,2018-02-02,0.8085054056985037,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,DJF,8,2019-02-07,1.3559752464294432,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,DJF,9,2019-12-25,1.4878803866250174,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,JJA,0,2015-06-04,0.8406075068882538,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,JJA,1,2015-07-28,0.5528116498674664,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,JJA,2,2016-06-04,1.2129705156598771,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,JJA,3,2016-07-27,0.5752901349748883,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,JJA,4,2017-06-15,0.7014577048165452,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,JJA,5,2018-06-03,2.5327063969203403,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,JJA,6,2018-07-18,1.339507838657924,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,JJA,7,2018-08-25,1.5948538099016456,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,JJA,8,2019-07-03,0.5913824898856019,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,JJA,9,2019-08-31,1.8506134578159883,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,MAM,0,2015-03-01,1.2713006053652083,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,MAM,1,2015-04-04,1.5841850280761718,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,MAM,2,2015-05-16,2.8376225607735774,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,MAM,3,2016-04-01,1.6887510027204242,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,MAM,4,2016-05-15,1.5252820423671178,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,MAM,5,2017-03-18,1.5625716890607564,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,MAM,6,2017-04-21,2.354686791556222,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,MAM,7,2018-05-02,2.646434729439872,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,MAM,8,2019-04-20,0.7717122759137836,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,MAM,9,2019-05-25,0.7419302804129464,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,SON,0,2015-09-01,0.7893410273960662,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,SON,1,2015-11-02,2.3767124993460516,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,SON,2,2016-09-25,1.127619552612305,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,SON,3,2016-11-14,2.1636795588902062,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,SON,4,2017-10-04,1.0344058990478513,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,SON,5,2017-11-16,1.4646002633231026,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,SON,6,2018-10-16,0.7992018290928432,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,SON,7,2018-11-28,1.976332473754883,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
huc8_02070010,01649500,7,SON,8,2019-10-11,0.45886753627232174,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006,2015|2016|2017|2018|2019
