network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_02070010,01649190,7,DJF,0,2015-01-01,0.6340798369475772,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,DJF,1,2015-02-19,0.09298863945794957,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,DJF,2,2016-01-01,0.7376667874200004,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,DJF,3,2016-02-07,0.5635109842089671,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,DJF,4,2016-12-28,0.41411728177751816,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,DJF,5,2017-02-03,0.7224199158804757,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,DJF,6,2017-12-23,0.7176871526454176,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,DJF,7,2018-02-05,0.5582956382206509,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,DJF,8,2019-02-16,0.3286431516919817,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,DJF,9,2019-12-25,0.34164582661220017,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,JJA,0,2015-06-05,0.1916787556239536,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,JJA,1,2015-07-28,0.19492122105189733,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,JJA,2,2016-06-03,0.17505874633789073,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,JJA,3,2016-07-25,0.3943673270089287,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,JJA,4,2017-06-14,0.6074686867850164,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,JJA,5,2018-06-01,0.4957414354596814,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,JJA,6,2018-07-15,1.0524821145193914,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,JJA,7,2018-08-21,0.9693056924002518,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,JJA,8,2019-06-29,1.7972817012241913,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,JJA,9,2019-08-31,0.681173433576312,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,MAM,0,2015-03-01,0.3777190510715757,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,MAM,1,2015-04-04,0.22083184378487708,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,MAM,2,2015-05-16,0.3355224881853377,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
huc8_02070010,01649190,7,MAM,3,2016-04-02,0.48517020089285723,xgboost_b_d,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2003|2004|2005|2006|2007|2008|2009|2010,2015|2016|2017|2018|2019
