network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_04060103,04124000,7,DJF,0,2011-01-01,0.39771244057587213,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,DJF,1,2011-02-22,0.22451567138944356,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,DJF,2,2012-01-24,0.8804386963419217,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,DJF,3,2012-12-16,1.1126791357994077,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,DJF,4,2013-02-16,0.4769694379397801,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,DJF,5,2014-02-02,0.1738768614828587,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,DJF,6,2014-12-26,0.6614272669755987,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,DJF,7,2015-02-28,0.05657810850867203,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,DJF,8,2016-01-23,0.5404492084469114,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,DJF,9,2016-12-25,1.1218806624412536,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,JJA,0,2011-06-01,1.0471370152064736,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,JJA,1,2011-08-06,1.0017108372279577,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,JJA,2,2012-07-04,1.2135583060128354,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
huc8_04060103,04124000,7,JJA,3,2012-08-24,0.9037514277866906,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016,1996|1997|1998|1999,2011|2012|2013|2014|2015|2016
