network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_04070007,04136000,7,DJF,0,2011-01-01,0.9663990323032651,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
huc8_04070007,04136000,7,DJF,1,2011-12-27,1.3381773373910357,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
huc8_04070007,04136000,7,DJF,2,2012-02-29,0.9976308686392649,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
huc8_04070007,04136000,7,DJF,3,2013-01-23,0.0751899637814079,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
huc8_04070007,04136000,7,DJF,4,2014-01-07,0.06139606876032693,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
huc8_04070007,04136000,7,DJF,5,2015-01-19,0.23813347369432453,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
huc8_04070007,04136000,7,DJF,6,2015-12-15,1.947755091530936,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
huc8_04070007,04136000,7,DJF,7,2016-02-19,1.6012371950915882,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
huc8_04070007,04136000,7,DJF,8,2017-01-21,0.9146357672555104,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
huc8_04070007,04136000,7,DJF,9,2017-12-25,0.22698139718600682,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
huc8_04070007,04136000,7,JJA,0,2011-06-01,1.681358664376395,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
huc8_04070007,04136000,7,JJA,1,2011-07-29,1.3810382298060822,xgboost_b_d,1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017,1996|1997|1998|1999|2000|2001,2011|2012|2013|2014|2015|2016|2017
