network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_05020006,03081000,7,DJF,0,2015-01-01,0.18898200988769526,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,DJF,1,2015-02-01,0.8668311936514719,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,DJF,2,2015-12-05,0.6094053949628558,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,DJF,3,2016-01-18,1.400231851850237,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,DJF,4,2016-02-19,0.48744441441127234,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,DJF,5,2017-01-10,0.5008710316249302,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,DJF,6,2017-02-11,0.16562688010079515,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,DJF,7,2018-12-17,0.25249238695417137,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,DJF,8,2019-02-09,1.4687393597194127,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,DJF,9,2019-12-25,0.13204174722943987,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,JJA,0,2015-06-01,0.5984993798392159,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,JJA,1,2015-07-16,1.365391322544642,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,JJA,2,2015-08-31,0.6741274152483265,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,JJA,3,2017-06-13,2.635333333696638,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,JJA,4,2017-07-22,0.8257913316999164,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,JJA,5,2018-06-06,2.6451530184064587,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,JJA,6,2018-07-22,1.0718170710972375,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,JJA,7,2018-08-30,0.13623902457101014,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,JJA,8,2019-07-16,1.471171515328543,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,JJA,9,2019-08-31,0.5607173919677736,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,MAM,0,2015-03-01,1.4113862582615444,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,MAM,1,2015-04-24,0.33886138371058855,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,MAM,2,2015-05-26,0.20254309517996663,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,MAM,3,2016-03-27,0.42443842206682475,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,MAM,4,2016-05-17,0.2040470395769393,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,MAM,5,2017-04-13,0.3661850248064312,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,MAM,6,2017-05-23,1.4502786091395785,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,MAM,7,2018-04-26,0.5038991519383023,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,MAM,8,2019-03-05,0.6114311218261719,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,MAM,9,2019-05-31,1.679768099103655,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,0,2015-09-01,0.5673387799944203,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,1,2015-10-09,0.215746361868722,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,2,2015-11-17,0.5706792286464145,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,3,2016-10-06,0.2891676766531808,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,4,2016-11-24,0.3723079681396486,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,5,2017-10-07,0.15996202741350476,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,6,2018-09-14,0.09800573076520637,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,7,2019-09-02,0.5643395560128351,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,8,2019-10-18,0.3023993355887278,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,7,SON,9,2019-11-26,0.3434013639177595,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,0,2015-01-01,0.9395300229390463,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,1,2015-01-22,0.9715462064743042,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,2,2015-02-12,1.292352558771769,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,3,2015-12-28,0.7415528726577759,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,4,2016-01-18,1.2686189778645833,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
huc8_05020006,03081000,30,DJF,5,2016-02-09,0.7227994664510092,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005,2015|2016|2017|2018|2019
