network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_05020006,03077500,7,DJF,0,2015-01-01,0.19835562024797726,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,DJF,1,2015-02-01,1.352318511690412,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,DJF,2,2015-12-04,0.5180849211556572,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,DJF,3,2016-01-18,0.8458996432168144,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,DJF,4,2016-02-18,1.2336556502750942,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,DJF,5,2017-01-10,1.2239542824881418,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,DJF,6,2017-02-10,0.40477951594761447,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,DJF,7,2018-12-18,0.4870866775512694,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,DJF,8,2019-02-10,1.4240685394832064,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,DJF,9,2019-12-25,0.9307274545942035,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,JJA,0,2015-06-01,0.5425086975097654,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,JJA,1,2015-07-15,0.12070484161376933,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,JJA,2,2015-08-31,0.05644574846540199,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
huc8_05020006,03077500,7,JJA,3,2017-06-16,0.07503991808210106,xgboost_b_d,2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019,2004|2005|2006|2007|2008|2009,2015|2016|2017|2018|2019
