network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_05030102,03102950,7,DJF,0,2017-12-04,0.9535553370203289,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,DJF,1,2018-01-01,0.09859578588179181,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,DJF,2,2018-01-29,0.1003822929092816,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,DJF,3,2018-02-27,1.198317187173026,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,DJF,4,2018-12-27,1.6298422540937152,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,DJF,5,2019-01-31,0.18151415511965752,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,DJF,6,2019-12-31,1.4455661841801233,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,DJF,7,2020-01-28,1.3318444183894567,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,DJF,8,2020-02-25,2.2280046054295126,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,DJF,9,2020-12-25,0.9949787808316094,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,JJA,0,2017-06-01,0.9813889094761444,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,JJA,1,2017-07-01,0.06969926016671327,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,JJA,2,2017-08-08,0.2643232073102669,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,JJA,3,2018-06-21,0.5880430494035994,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,JJA,4,2019-06-20,0.6027519771030977,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,JJA,5,2019-07-20,1.8649536132812503,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,JJA,6,2019-08-20,1.1839809417724614,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,JJA,7,2020-06-20,0.6991310119628906,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,JJA,8,2020-07-31,0.5153177533830912,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,JJA,9,2020-08-31,1.0621272495814733,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,MAM,0,2017-04-27,0.9422729492187497,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
huc8_05030102,03102950,7,MAM,1,2017-05-22,0.958683831351144,xgboost_b_d,2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020,2007|2008|2009|2010|2011|2012,2017|2018|2019|2020
