network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
gkd_bayern_donau,10046105,7,DJF,0,2011-12-06,0.24606146131243037,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,DJF,1,2011-12-15,0.23963368279593325,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,DJF,2,2011-12-25,0.2820811680385046,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,DJF,3,2012-01-04,0.3811058998107911,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,DJF,4,2012-01-14,0.9374622549329485,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,DJF,5,2012-01-23,0.23670105252947143,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,DJF,6,2012-02-24,0.2598375933510916,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,DJF,7,2012-12-05,0.21184950556073875,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,DJF,8,2012-12-15,0.405306019101824,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,DJF,9,2012-12-25,0.31433714457920636,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,JJA,0,2010-06-08,1.5506738662719728,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,JJA,1,2012-06-02,0.40151301792689736,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,JJA,2,2012-06-11,1.3643704823085236,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,JJA,3,2012-06-21,0.32535901750837076,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,JJA,4,2012-06-30,0.6650909968784882,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,JJA,5,2012-07-09,0.45492548261369997,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,JJA,6,2012-07-19,0.33515205383300894,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,JJA,7,2012-07-28,0.6840774536132811,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,JJA,8,2012-08-06,0.6609591347830636,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,JJA,9,2012-08-31,1.181884929112025,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,MAM,0,2012-03-01,0.891117913382394,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,MAM,1,2012-03-11,0.25608591352190274,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,MAM,2,2012-03-21,0.23593469347272616,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,MAM,3,2012-03-31,0.2898439134870256,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,MAM,4,2012-04-10,0.47723328726632247,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,MAM,5,2012-04-20,0.5742551258632117,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,MAM,6,2012-04-30,1.1499442509242463,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,MAM,7,2012-05-10,1.0974582399640762,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,MAM,8,2012-05-20,1.027763530186244,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,MAM,9,2012-05-31,0.5469410487583704,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,SON,0,2012-09-01,1.1068305969238277,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,SON,1,2012-09-19,0.23296620505196713,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,SON,2,2012-09-28,0.16359879629952573,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,SON,3,2012-10-07,0.32975749969482415,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,SON,4,2012-10-16,0.17440839494977695,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,SON,5,2012-10-25,0.4759360722133094,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,SON,6,2012-11-03,0.634914016723633,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,SON,7,2012-11-12,0.427695151737758,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,SON,8,2012-11-21,0.3572445460728237,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,7,SON,9,2012-11-30,0.3800978660583496,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,DJF,0,2011-12-06,0.7362375863393147,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,DJF,1,2011-12-10,0.43858759244283047,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,DJF,2,2011-12-15,0.46151431401570636,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,DJF,3,2011-12-20,1.0004903602600097,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,DJF,4,2011-12-24,0.633855930964152,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,DJF,5,2011-12-29,0.4736269696553549,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,DJF,6,2012-01-03,0.7092516962687174,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,DJF,7,2012-01-07,1.105118965109189,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,DJF,8,2012-02-26,0.5118400573730469,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,DJF,9,2012-12-02,1.5886829471588135,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,JJA,0,2012-06-01,1.6667159652709962,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,JJA,1,2012-06-06,0.9808235931396483,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,JJA,2,2012-06-11,1.0420586458841958,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,JJA,3,2012-06-17,2.6626517995198564,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,JJA,4,2012-06-22,0.5571462758382162,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,JJA,5,2012-06-27,0.6167977905273436,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,JJA,6,2012-07-03,0.9812588119506837,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,JJA,7,2012-07-08,0.7546313349405925,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,JJA,8,2012-07-13,0.5537100855509443,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,JJA,9,2012-07-19,0.578871790568034,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,MAM,0,2012-03-01,0.5609282239278157,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,MAM,1,2012-03-11,1.4693847846984862,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,MAM,2,2012-03-21,0.6338083267211913,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,MAM,3,2012-03-31,2.038223247528076,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,MAM,4,2012-04-10,0.9183225377400718,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,MAM,5,2012-04-20,1.6641594187418618,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
gkd_bayern_donau,10046105,30,MAM,6,2012-04-30,0.8705253473917643,xgboost_b_d,1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012,1980|1981|1982|1983|1984|1985|1986|1987,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012
