network_id,station_id,gap_length,season,placement,gap_start,mae_deg_c,model_family,outer_training_years,inner_fit_years,inner_score_years
huc8_05030103,03098600,7,DJF,0,2013-01-01,0.6543496200016568,xgboost_b_d,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2000|2001,2013|2014|2015|2016|2017|2018
huc8_05030103,03098600,7,DJF,1,2014-01-04,1.756127633367266,xgboost_b_d,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2000|2001,2013|2014|2015|2016|2017|2018
huc8_05030103,03098600,7,DJF,2,2014-12-18,0.843453516278948,xgboost_b_d,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2000|2001,2013|2014|2015|2016|2017|2018
huc8_05030103,03098600,7,DJF,3,2015-02-05,1.3367307015827723,xgboost_b_d,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2000|2001,2013|2014|2015|2016|2017|2018
huc8_05030103,03098600,7,DJF,4,2015-12-26,1.0728887013026644,xgboost_b_d,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2000|2001,2013|2014|2015|2016|2017|2018
huc8_05030103,03098600,7,DJF,5,2016-02-13,1.611254620552063,xgboost_b_d,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2000|2001,2013|2014|2015|2016|2017|2018
huc8_05030103,03098600,7,DJF,6,2017-01-02,1.3863725525992254,xgboost_b_d,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2000|2001,2013|2014|2015|2016|2017|2018
huc8_05030103,03098600,7,DJF,7,2017-12-03,0.48358086177280973,xgboost_b_d,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2000|2001,2013|2014|2015|2016|2017|2018
huc8_05030103,03098600,7,DJF,8,2018-01-21,0.4984797409602574,xgboost_b_d,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2000|2001,2013|2014|2015|2016|2017|2018
huc8_05030103,03098600,7,DJF,9,2018-12-25,0.41498169217790876,xgboost_b_d,2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018,2000|2001,2013|2014|2015|2016|2017|2018
