cutoff_fraction,scope,network_subset,curve_source,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse
0.6,supported_only,20,rebuild_10_per_season,324,14,0.9467175953378505,0.9472527472527472,0.0924916693220938,0.8948720453298863,0.8754752859133994,0.30193401112319157
0.6,all_cells,20,rebuild_10_per_season,553,14,0.6783837085596458,0.7582417582417583,0.3782599577071948,0.8251086200765503,0.21759748691385905,1.049848119827659
0.7,supported_only,20,rebuild_10_per_season,502,20,0.9084251673934307,0.9218045112781955,0.1770307516933252,0.7344425878159478,0.7431885778712322,0.39050861851085705
0.7,all_cells,20,rebuild_10_per_season,960,20,0.5717031837511043,0.6300751879699248,0.5387236022514861,0.6750140399657858,0.07468898946303049,1.1714479027199138
0.8,supported_only,20,rebuild_10_per_season,549,20,0.9265000514774855,0.9488721804511278,0.04790310551562337,0.8685058087602272,0.8520400131360927,0.3235358493715008
0.8,all_cells,20,rebuild_10_per_season,954,20,0.7007795408177744,0.8902255639097743,0.249722809722549,0.8687418405295384,0.2542559533761005,1.0500410482737843
0.7,supported_only,42,frozen_20_per_season,780,42,0.9341048983106937,0.9218863949436837,0.1065654421544471,0.8635904833613768,0.8119853832008911,0.36217894334323014
0.7,all_cells,42,frozen_20_per_season,1440,42,0.6333596656792232,0.766631553358723,0.3937119898702933,0.8291303560017649,0.14463461952342094,1.1564160625447537
0.7,supported_only,20,frozen_20_per_season,502,20,0.9152831090900311,0.9624060150375938,0.19081162783060457,0.7211935840595238,0.7351864840564466,0.3965459594212172
0.7,all_cells,20,frozen_20_per_season,960,20,0.5760254104990415,0.6345864661654135,0.5531747891191792,0.6626596826165436,0.07002565092537472,1.174396096631833
