history_level,dataset,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse
2,first_panel,8440,20,0.5867702439087993,0.6075187969924812,0.3120703639665992,0.5564944031533583,-0.09782134532707354,1.035061718604053
4,first_panel,8440,20,0.70022163488344,0.8721804511278194,0.15792566866348304,0.7269417900857928,0.4463857098866345,0.7350282942960283
6,first_panel,8440,20,0.7127951566182807,0.9157894736842105,0.18219672346702118,0.7020712028719901,0.4253199248175029,0.7488821537930814
8,first_panel,8440,20,0.7168453807861029,0.9383458646616539,0.16803797851161045,0.7132418391260166,0.4410847789322899,0.7385389078355967
full,first_panel,8440,20,0.7612406750804213,0.9443609022556391,0.1747675671820328,0.723810075593753,0.4993031227808524,0.6990171848493789
2,development,1300,5,0.5704806502093902,0.7,0.16608013009544684,0.627802481214032,0.018830943225593866,1.061314245889955
4,development,1860,7,0.66783285336121,0.8571428571428573,0.18259322562221658,0.6896214231592379,0.27789942757101915,0.9253932057573173
6,development,1860,7,0.6674997542392371,0.6785714285714287,-0.04858556488838596,0.8512780009309427,0.4049494085187286,0.8400485906837666
8,development,1820,7,0.6426729888706872,0.7857142857142859,0.008385955389993982,0.8300638848398195,0.38262188549943577,0.8173401455497997
full,development,1700,6,0.6771674738139779,0.942857142857143,0.1312416279816006,0.8555652570978863,0.5664888432619406,0.6933683001004294
