history_level,dataset,network_id,history_years,score_years,stress_curve_cells,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse,n_supported_fraction
2,development,huc8_02040106,2,39,0,0,0,,,,,,,
4,development,huc8_02040106,4,37,300,320,1,0.7527086986702392,,-0.6410317701577181,1.2274858968702267,0.5021795228498047,0.8662022344787832,0.5714285714285714
6,development,huc8_02040106,6,35,300,320,1,0.7536589784473844,,-0.37066468750349213,1.0120830468971025,0.4820699624965512,0.8835242432732595,0.5714285714285714
8,development,huc8_02040106,8,33,300,320,1,0.7536589784473844,,-0.3368170070919448,0.9816345387461515,0.47046433593868675,0.8933682811105719,0.5714285714285714
full,development,huc8_02040106,29,12,1200,320,1,0.7805103428651626,,0.12331066067511207,0.9136996458652046,0.626440588157243,0.7503480579203188,0.5714285714285714
2,development,huc8_02040205,2,37,121,420,1,0.3272096071484773,,-0.8406537589099686,1.3994227468103184,-0.16190772225273165,0.6964470084459153,0.5
4,development,huc8_02040205,4,35,362,420,1,0.38308596569314096,,-0.11942230792609544,0.9109919291644681,-0.044967755676814436,0.6604709235065241,0.5
6,development,huc8_02040205,6,33,362,420,1,0.4061848119211327,,-0.050077634210522394,0.8597735369472348,-0.03388376060714915,0.6569587707860767,0.5
8,development,huc8_02040205,8,31,362,420,1,0.31030959570464406,,0.05084544624054725,0.7870925485918528,-0.02835396597707307,0.6551995218813405,0.5
full,development,huc8_02040205,27,12,603,420,1,0.3322453553653315,,0.4020221007863894,0.5437152677424705,0.004133632424250022,0.6447669842116772,0.5
2,development,huc8_02050104,2,36,279,160,1,0.7812974513362407,,-0.3395291144173998,0.6001591872018194,-1.0911141783944585,2.0107140640876318,0.5714285714285714
4,development,huc8_02050104,4,34,279,160,1,0.8360581692458123,,0.16282361310665983,0.5303669979344638,-0.545710040577627,1.7287231836905197,0.5714285714285714
6,development,huc8_02050104,6,32,558,160,1,0.8323749463404505,,0.13031800145827202,0.7786190316643368,0.5047981699309912,0.978481373522091,0.5714285714285714
8,development,huc8_02050104,8,30,412,120,1,0.7706697154688322,,-0.08061423732982377,1.0991608260522647,0.42539900838830935,0.5943868518314668,0.42857142857142855
full,development,huc8_02050104,27,11,0,0,0,,,,,,,
2,development,huc8_03050106,2,36,320,160,1,0.7699721739175337,,0.43136766364756934,0.7829589893365804,0.49459301780644804,0.9806728811176478,0.5714285714285714
4,development,huc8_03050106,4,34,320,160,1,0.7760507815951231,,0.4773848860889963,0.7598681776900261,0.48677320611293884,0.9882303959361285,0.5714285714285714
6,development,huc8_03050106,6,32,320,160,1,0.7764832865944481,,0.38052038412530215,0.8364482473625922,0.5347890966193385,0.9408675485563291,0.5714285714285714
8,development,huc8_03050106,8,30,320,160,1,0.7764832865944481,,0.38852888865349244,0.8354147761995125,0.5320406263360535,0.9436427826181539,0.5714285714285714
full,development,huc8_03050106,27,11,640,160,1,0.7952692783406802,,0.363806275881801,0.833106682071058,0.6563418173020341,0.8086617320308958,0.5714285714285714
2,development,huc8_05120201,2,34,320,160,1,0.7584683390431689,,-0.6098089015071674,0.9923695857195073,0.4211190977981729,1.0363562786913634,0.5714285714285714
4,development,huc8_05120201,4,32,320,160,1,0.7735001277384206,,-0.3253496151249903,0.9884013379275762,0.5823759548822152,0.8802524037508992,0.5714285714285714
6,development,huc8_05120201,6,30,320,160,1,0.7739649980875789,,-0.09361537922101655,0.8574764987056382,0.5357599657290506,0.9280807541281134,0.5714285714285714
8,development,huc8_05120201,8,28,320,160,1,0.7842186257256591,,0.02058496542567558,0.7972791548579959,0.49499597743718016,0.9679699844924787,0.5714285714285714
full,development,huc8_05120201,25,11,640,160,1,0.8140936301176321,,0.33531572501903495,0.7748822094147888,0.6195321477453777,0.8401821591583796,0.5714285714285714
2,development,huc8_03090101,2,33,239,400,1,0.7000015008995701,,-0.431134455708763,0.8780950488635085,-0.43331984255882183,0.8485166686060117,0.6666666666666666
4,development,huc8_03090101,4,31,239,400,1,0.7010373114301058,,-0.302814744662738,0.825435893177821,-0.3468049374553579,0.8225099711502454,0.6666666666666666
6,development,huc8_03090101,6,29,239,400,1,0.700923557408326,,-0.23046169485017565,0.7541432792974914,-0.5395791985099736,0.879406839384287,0.6666666666666666
8,development,huc8_03090101,8,27,239,400,1,0.700923557408326,,-0.24678679956307872,0.7651045768987026,-0.5237626296816011,0.8748779697855984,0.6666666666666666
full,development,huc8_03090101,24,11,478,400,1,0.7254125869941985,,-0.22914205431720025,0.9169656847607035,0.21074731221696363,0.6296465910099314,0.6666666666666666
2,development,huc8_16050102,2,32,0,0,0,,,,,,,
4,development,huc8_16050102,4,30,320,240,1,0.7151245314182078,,-0.23465668575569804,0.9187048207294637,0.3381298974641065,0.7651447629254939,0.5714285714285714
6,development,huc8_16050102,6,28,320,240,1,0.709713460290191,,-0.36719724195890835,1.0180541146013347,0.34277999777303647,0.7624521867734116,0.5714285714285714
8,development,huc8_16050102,8,26,320,240,1,0.7162549414190402,,-0.35391208968212284,1.0009728069520853,0.3442932358032499,0.7615739142452022,0.5714285714285714
full,development,huc8_16050102,24,10,960,240,1,0.7245440345246418,,0.06162742196474824,0.9234585630382848,0.5931772937062664,0.5998736980243188,0.5714285714285714
2,development,huc8_02050305,2,27,0,0,0,,,,,,,
4,development,huc8_02050305,4,25,0,0,0,,,,,,,
6,development,huc8_02050305,6,23,0,0,0,,,,,,,
8,development,huc8_02050305,8,21,0,0,0,,,,,,,
full,development,huc8_02050305,20,9,0,0,0,,,,,,,
