outer_cutoff,network_id,outer_training_years,outer_evaluation_years,stress_model_fit_years,stress_model_score_years,stress_curve_cells,n,n_networks,spearman,network_spearman,calibration_intercept,calibration_slope,r2,rmse,n_supported_fraction
0.6,lubw_neckar,31,21,22,9,0,0,0,,,,,,,
0.7,lubw_neckar,36,16,25,11,2035,660,1,0.517670296265148,,0.08933406169794057,0.9001631898587552,0.20121847560413886,0.5345949788035612,0.5
0.8,lubw_neckar,42,10,29,13,2400,374,1,0.6537930110199734,,-0.041554516307045174,0.9281021946061254,0.47367328862182934,0.4652530109897984,0.4473684210526316
0.6,gkd_bayern_donau,28,19,20,8,0,0,0,,,,,,,
0.7,gkd_bayern_donau,33,14,23,10,2029,780,1,0.676468948249576,,0.01585147681013354,1.030829359499757,0.37938252443369513,0.43113667347129514,0.42857142857142855
0.8,gkd_bayern_donau,38,9,27,11,3200,533,1,0.8387503992065737,,0.019862409917744274,0.9314125660601439,0.6660519739047666,0.4832595330635307,0.6119402985074627
0.6,gkd_bayern_fraenkische_saale,28,19,20,8,0,0,0,,,,,,,
0.7,gkd_bayern_fraenkische_saale,33,14,23,10,320,160,1,0.7806798095186682,,0.02781247570752289,0.7887477353877024,0.4378539296113211,0.7363420450693322,0.5714285714285714
0.8,gkd_bayern_fraenkische_saale,38,9,27,11,320,88,1,0.7537232380216025,,0.13816571758654456,0.7789953291707029,0.49498944921345034,0.6751552929081871,0.5866666666666667
0.6,gkd_bayern_iller,28,19,20,8,640,240,1,0.7573144888793074,,-0.03699063788644411,0.9987676928613821,0.6072242711355876,0.5356961631961596,0.5714285714285714
0.7,gkd_bayern_iller,33,14,23,10,960,240,1,0.7911284665565713,,0.020031932130457182,0.948840743220612,0.6580020028903097,0.4998710617675158,0.5714285714285714
0.8,gkd_bayern_iller,38,9,27,11,960,159,1,0.8007547102356154,,0.08824168765794706,0.8133565642640919,0.6072870395694507,0.4390825909348972,0.5578947368421052
0.6,gkd_bayern_inn,28,19,20,8,640,160,1,0.80520451057718,,0.017180327942893026,0.8854838755608441,0.7181997696919955,0.45488863017819053,0.5714285714285714
