metric,level,gap_length,n,spearman,p_value
annual_mean,placement,all,1965,0.6151437314557537,6.250236300749363e-205
annual_mean,placement,7,655,0.2402755628230798,4.691273592629784e-10
annual_mean,placement,30,655,0.33429749664688685,1.4489181888010007e-18
annual_mean,placement,90,655,0.4056598402735624,2.444565343955291e-27
annual_mean,network,all,15,0.4678571428571427,0.0786302311543806
summer_mean,placement,all,1950,0.42329166978458893,1.2854773993837566e-85
summer_mean,placement,7,650,0.21108147279014122,5.5566858721834706e-08
summer_mean,placement,30,650,0.33190321927846717,3.522391287477576e-18
summer_mean,placement,90,650,0.2864281344087287,9.694428234629839e-14
summer_mean,network,all,15,0.37176064889448046,0.17243587254262802
amplitude,placement,all,1950,0.22660566890391176,3.971868344134102e-24
amplitude,placement,7,650,-0.17703643459948534,5.604430494344832e-06
amplitude,placement,30,650,0.04285972507811823,0.2752240194808346
amplitude,placement,90,650,0.21939722085512836,1.587866745995375e-08
amplitude,network,all,15,0.28571428571428564,0.3019363513225493
phase_doy,placement,all,1965,0.4958220846771698,1.9503069896667183e-122
phase_doy,placement,7,655,0.13090344455934158,0.0007843210600618219
phase_doy,placement,30,655,0.07712477776441391,0.04849314407027107
phase_doy,placement,90,655,0.17432721645026533,7.2086202698408255e-06
phase_doy,network,all,15,-0.1964285714285714,0.4828987562716336
p90,placement,all,1965,0.31021376880109003,4.2790140867111595e-45
p90,placement,7,655,0.12145966322832011,0.0018449929241862065
p90,placement,30,655,0.14568074184149254,0.0001831015019535407
p90,placement,90,655,0.3255809938700807,1.2230996852367308e-17
p90,network,all,15,0.7714285714285712,0.0007568751073803471
summer_max,placement,all,1950,0.10968566019635033,1.2030354224687748e-06
summer_max,placement,7,650,,
summer_max,placement,30,650,0.03881617813925805,0.3231086500492216
summer_max,placement,90,650,0.0837982760469894,0.03267197953233237
summer_max,network,all,15,0.17325193726545673,0.5369128262072405
exceed_20_days,placement,all,1965,0.37502286079910163,1.179932718374728e-66
exceed_20_days,placement,7,655,0.16327260972706165,2.6826601002337748e-05
exceed_20_days,placement,30,655,0.332032792167806,2.538717362930835e-18
exceed_20_days,placement,90,655,0.25526657104319506,3.3407993969616573e-11
exceed_20_days,network,all,15,0.7392857142857142,0.0016355111435407642
exceed_25_days,placement,all,1965,0.23480473254020792,5.095824561519145e-26
exceed_25_days,placement,7,655,0.16836229892773621,1.4801751271449139e-05
exceed_25_days,placement,30,655,0.24551364863123654,1.9007123443572974e-10
exceed_25_days,placement,90,655,0.26811883869756026,3.015676814358699e-12
exceed_25_days,network,all,15,0.6655645652197768,0.006765022194102443
degree_days_10,placement,all,1965,0.5279519475825928,1.7922245162450003e-141
degree_days_10,placement,7,655,0.299140746219333,5.23780083652023e-15
degree_days_10,placement,30,655,0.46464778235997367,2.1753958383846586e-36
degree_days_10,placement,90,655,0.3505949368914075,2.2269963876758455e-20
degree_days_10,network,all,15,0.7642857142857141,0.0009073101116849778
trend_slope,placement,all,1950,0.421324953691572,9.252331789212717e-85
trend_slope,placement,7,650,-0.01257445030015064,0.748981650683868
trend_slope,placement,30,650,0.11502475168908427,0.003317512732215745
trend_slope,placement,90,650,0.2025472622592947,1.9078477591061394e-07
trend_slope,network,all,15,-0.08928571428571427,0.751672517350277
