policy,metric,label,n_units,n_treated,aggregate_no_treatment,aggregate_treated,reduction,reduction_sd
top20_risk,annual_mean,annual mean (degC),270,54,207.97609036280443,129.47198338703083,0.37746698112666177,
top20_length,annual_mean,annual mean (degC),270,54,207.97609036280443,127.67301502482707,0.3861168617887395,
random20,annual_mean,annual mean (degC),270,54,207.97609036280443,171.90951891593565,0.1734169124150394,0.022447056821956253
top20_risk,summer_mean,summer JJA mean (degC),270,54,48.29727749621913,39.20181185450191,0.18832253313717817,
top20_length,summer_mean,summer JJA mean (degC),270,54,48.29727749621913,39.494453688441254,0.18226335446065234,
random20,summer_mean,summer JJA mean (degC),270,54,48.29727749621913,44.241260051910004,0.08398025012127541,0.024135245862817144
top20_risk,amplitude,amplitude Jul-Jan (degC),261,53,27.72140955331644,25.078651199205495,0.09533275532141117,
top20_length,amplitude,amplitude Jul-Jan (degC),261,53,27.72140955331644,23.31489861284397,0.15895695823105438,
random20,amplitude,amplitude Jul-Jan (degC),261,53,27.72140955331644,24.41468887278593,0.11928400228605666,0.031528975922906044
top20_risk,phase_doy,phase (day of peak),270,54,1021.3974318550509,902.3652240417923,0.11653858145802609,
top20_length,phase_doy,phase (day of peak),270,54,1021.3974318550509,909.9979706392508,0.10906573459214364,
random20,phase_doy,phase (day of peak),270,54,1021.3974318550509,967.2082772239689,0.05305393663724436,0.022766492578706662
top20_risk,p90,90th percentile (degC),270,54,132.08574720771685,91.56580521316853,0.30676997973768527,
top20_length,p90,90th percentile (degC),270,54,132.08574720771685,93.78241929786577,0.28998835014057656,
random20,p90,90th percentile (degC),270,54,132.08574720771685,114.52722380792532,0.1329327635341242,0.021942366534379754
top20_risk,summer_max,summer maximum (degC),270,54,47.581818181818186,41.275625154321844,0.13253367081096623,
top20_length,summer_max,summer maximum (degC),270,54,47.581818181818186,41.915701333826235,0.11908155393181397,
random20,summer_max,summer maximum (degC),270,54,47.581818181818186,46.01600262049473,0.03290785474695833,0.026801375366302727
top20_risk,exceed_days_20,days > 20 degC,270,54,1698.6000000000001,1175.6,0.30790062404332996,
top20_length,exceed_days_20,days > 20 degC,270,54,1698.6000000000001,1291.0,0.23996232191216305,
random20,exceed_days_20,days > 20 degC,270,54,1698.6000000000001,1487.28,0.12440833627693404,0.03378446018812695
top20_risk,exceed_days_25,days > 25 degC,270,54,209.60000000000002,186.8,0.10877862595419852,
top20_length,exceed_days_25,days > 25 degC,270,54,209.60000000000002,205.2,0.020992366412213914,
random20,exceed_days_25,days > 25 degC,270,54,209.60000000000002,202.14,0.035591603053435276,0.024115183737807844
top20_risk,cdd10,degree days > 10 degC,270,54,41342.73318504964,25030.094156913292,0.39457089000674306,
top20_length,cdd10,degree days > 10 degC,270,54,41342.73318504964,27116.021518301586,0.34411637960822383,
random20,cdd10,degree days > 10 degC,270,54,41342.73318504964,34292.49218488863,0.17053156521133248,0.023086617916993627
top20_risk,trend_slope,trend slope (degC/yr),270,54,191.01251018059725,124.49603820054574,0.3482309714539742,
top20_length,trend_slope,trend slope (degC/yr),270,54,191.01251018059725,91.36389757079766,0.5216863152868075,
random20,trend_slope,trend slope (degC/yr),270,54,191.01251018059725,158.0362294489208,0.17263937686855294,0.045449094840898485
