metric,label,n_networks,network_spearman_risk,network_spearman_risk_p,network_spearman_fitloss,network_spearman_fitloss_p,pooled_spearman_risk,pooled_spearman_risk_p,pooled_spearman_fitloss,pooled_spearman_fitloss_p
annual_mean,annual mean (degC),15,0.7642857142857141,0.0009073101116849778,0.7571428571428571,0.0010811081941858346,0.8195811251792814,8.934035073796745e-67,0.8228233583451074,9.945754954102947e-68
summer_mean,summer JJA mean (degC),15,0.33571428571428563,0.22121153763932594,0.3928571428571428,0.14746665531132622,0.6902452332479532,1.543079342024486e-39,0.6922447284546387,7.56970112695675e-40
amplitude,amplitude Jul-Jan (degC),15,0.08928571428571427,0.751672517350277,0.07857142857142857,0.7807545523090466,-0.13836889152175097,0.02538769268372354,-0.14772846166135895,0.016927009927836273
phase_doy,phase (day of peak),15,0.7285714285714285,0.002065209744690791,0.7071428571428571,0.0031954812582450634,0.6471865669012001,1.944523320758112e-33,0.6391442705126871,2.0939919540955461e-32
p90,90th percentile (degC),15,0.6678571428571428,0.006509956694715437,0.6892857142857142,0.0044737344509062,0.7821961085735976,5.271911908749604e-57,0.7789893019345451,2.9478730443488636e-56
summer_max,summer maximum (degC),15,0.25,0.36884629178393047,0.2178571428571428,0.43539267351553756,0.43385405395959425,8.081859106480357e-14,0.4171910399861677,8.54526004704508e-13
exceed_days_20,days > 20 degC,15,0.47142857142857136,0.07607042915033121,0.5214285714285714,0.04621923447857302,0.5931848552818466,4.7232715778600364e-27,0.6046799527360278,2.6084830100192815e-28
exceed_days_25,days > 25 degC,15,0.4955811228756088,0.06030342280794801,0.5399013858970048,0.037759880962898,0.3835132735274167,6.860518063370857e-11,0.38662483078567667,4.6695244774741697e-11
cdd10,degree days > 10 degC,15,0.7428571428571428,0.00150948887823503,0.7535714285714286,0.001177583023488826,0.791790156998388,2.555944814389195e-59,0.7944022966346127,5.704188007287876e-60
trend_slope,trend slope (degC/yr),15,0.3285714285714285,0.23180969720615968,0.2607142857142857,0.34797945986279355,0.58754258174552,1.876859714718324e-26,0.5824573115619631,6.361091018654076e-26
