lambda,ambiguity_delta,support_rule,fraction_abstained,n_released,net_balanced_regret_released,mean_unit_regret_released,abstained_loss_share
0.5,0.0,none,0.0,1440,0.08495302069947079,0.0931839673738707,0.0
0.5,0.0,winner,0.5333333333333333,672,0.04421944390273188,0.045051211940890186,0.5369242844235315
0.5,0.0,any,0.8465277777777778,221,0.028065703278330953,0.03220878655015493,0.8405339708996147
0.5,0.02,none,0.04791666666666667,1371,0.08552125564793808,0.0951061437092976,0.04009842745159648
0.5,0.02,winner,0.5625,630,0.04663565042720572,0.04529302578824532,0.5647659849725463
0.5,0.02,any,0.8597222222222223,202,0.025173707615862642,0.029192979884823764,0.8568270890917414
0.5,0.05,none,0.13958333333333334,1239,0.08923781372074284,0.10093100072309204,0.11876698003541593
0.5,0.05,winner,0.60625,567,0.0494064718056018,0.04803033255717614,0.6111030797550959
0.5,0.05,any,0.8791666666666667,174,0.025919755470419283,0.031069531642817644,0.8772636900174544
0.5,0.1,none,0.3159722222222222,985,0.099759799800361,0.112127345428636,0.23287059985436476
0.5,0.1,winner,0.6701388888888888,475,0.04763107616226249,0.04638200870130511,0.6678493178819587
0.5,0.1,any,0.9145833333333333,123,0.006720237495858092,0.012140050422799411,0.913558846566404
0.5,0.15,none,0.4527777777777778,788,0.10370190126337872,0.10945006056263525,0.35981351084795493
0.5,0.15,winner,0.7208333333333333,402,0.05008775892671051,0.05111120986839783,0.7167343782451663
0.5,0.15,any,0.93125,99,0.008066311538149693,0.013160661317309023,0.9315421798891789
0.5,0.2,none,0.55,648,0.10214900320888413,0.1144362788666307,0.4573426993357521
0.5,0.2,winner,0.76875,333,0.05046366254712024,0.05754325770604094,0.75838511167303
0.5,0.2,any,0.9583333333333334,60,0.01107924162528297,0.019042957762304424,0.9564975068377148
0.5,0.3,none,0.7326388888888888,385,0.09008587138849714,0.09757591427129927,0.6312006176729116
0.5,0.3,winner,0.8340277777777778,239,0.050014385974086535,0.06570843726427589,0.8065551925597985
0.5,0.3,any,0.9763888888888889,34,0.01769052913961489,0.028954101568843652,0.9718546452298376
