selector,lambda,abstention,fraction_abstained,net_balanced_regret,worst_network_regret,mean_unit_regret,top2_hit,n_released
oracle,,none,0.0,0.0,0.0,0.0,,1440
best_fixed_dev,,none,0.0,0.08149852237862493,0.42999223632334216,0.10394743535021789,,1440
global_blockedCV,,none,0.0,0.08149852237862493,0.42999223632334216,0.10394743535021789,,1440
per_network_avgCV,,none,0.0,0.03829553216443614,0.12890466570274922,0.03691751595850134,,1440
gap_length_rule,,none,0.0,0.09267099541749858,0.308969381312911,0.1023840668116925,,1440
common_scale_rule,,none,0.0,0.08652698230014735,0.4043834190570632,0.09415761649419542,,1440
random,,none,0.0,0.26283744015123345,0.5570448827667247,0.2785856691993947,,1440
proposed_risk,0.0,none,0.0,0.08377968961293895,0.4043834190570632,0.0923912666959727,0.8916666666666667,1440
proposed_risk,0.0,ambiguous,0.25625,0.09752769111749708,0.5155015385576988,0.10677587297156266,0.8748832866479925,1071
proposed_risk,0.0,ambiguous+support_any,0.8993055555555556,0.016365806020507547,0.09144439226401056,0.033252699962245655,0.9655172413793104,145
proposed_risk,0.0,ambiguous+support_winner,0.60625,0.04623111915255897,0.3793557558127299,0.04752190625922496,0.9911816578483245,567
proposed_risk,0.5,none,0.0,0.08495302069947079,0.4043834190570632,0.0931839673738707,0.8965277777777778,1440
proposed_risk,0.5,ambiguous,0.3159722222222222,0.099759799800361,0.5155015385576988,0.112127345428636,0.8700507614213198,985
proposed_risk,0.5,ambiguous+support_any,0.9145833333333333,0.006720237495858092,0.0294007349936275,0.012140050422799411,0.9512195121951219,123
proposed_risk,0.5,ambiguous+support_winner,0.6701388888888888,0.04763107616226249,0.40851420260859084,0.04638200870130511,0.9873684210526316,475
proposed_risk,1.0,none,0.0,0.08771293804929495,0.4043834190570632,0.0951184130822884,0.9020833333333333,1440
proposed_risk,1.0,ambiguous,0.3875,0.09185086389002792,0.4561357599605922,0.10490662369347609,0.8582766439909297,882
proposed_risk,1.0,ambiguous+support_any,0.9194444444444444,0.009032707526066799,0.030131604689978064,0.013855509894567035,0.9310344827586207,116
proposed_risk,1.0,ambiguous+support_winner,0.7222222222222222,0.04593182330329275,0.44927111402791925,0.05065461413133091,0.98,400
