rule,fraction_abstained,n_released,n_networks_released,captured_released_gap_length,captured_full_gap_length,captured_released_dur_season,captured_full_dur_season,captured_released_simple,captured_full_simple,captured_released_empirical,captured_full_empirical,captured_released_surface,captured_full_surface
none,0.0,1446,57,0.4990657985648149,0.4990657985648149,0.5043765669793528,0.5043765669793528,0.5133788101380109,0.5133788101380109,0.3361589602385148,0.3361589602385148,0.5015204610738228,0.5015204610738228
extrapolated,0.08575380359612725,1322,57,0.42014893910755663,0.2986180571841505,0.41615104447528284,0.2957765802296867,0.42169827106813573,0.2997192345451697,0.415234570893054,0.29512520274158194,0.429806942618181,0.3054824187858873
fallback_tier,0.39557399723374825,874,57,0.4214241833425303,0.22508423226171625,0.4275662540303095,0.22836473518466385,0.4388879516326294,0.23441169621216193,0.43608745905520274,0.23291594265396529,0.43447598086901257,0.2320552461285115
extrapolated_or_fallback,0.39557399723374825,874,57,0.4214241833425303,0.22508423226171625,0.4275662540303095,0.22836473518466385,0.4388879516326294,0.23441169621216193,0.43608745905520274,0.23291594265396529,0.43447598086901257,0.2320552461285115
extrap_factor> 0,0.08575380359612725,1322,57,0.42014893910755663,0.2986180571841505,0.41615104447528284,0.2957765802296867,0.42169827106813573,0.2997192345451697,0.415234570893054,0.29512520274158194,0.429806942618181,0.3054824187858873
extrap_factor> 0.05,0.08575380359612725,1322,57,0.42014893910755663,0.2986180571841505,0.41615104447528284,0.2957765802296867,0.42169827106813573,0.2997192345451697,0.415234570893054,0.29512520274158194,0.429806942618181,0.3054824187858873
extrap_factor> 0.1,0.08575380359612725,1322,57,0.42014893910755663,0.2986180571841505,0.41615104447528284,0.2957765802296867,0.42169827106813573,0.2997192345451697,0.415234570893054,0.29512520274158194,0.429806942618181,0.3054824187858873
extrap_factor> 0.15,0.08575380359612725,1322,57,0.42014893910755663,0.2986180571841505,0.41615104447528284,0.2957765802296867,0.42169827106813573,0.2997192345451697,0.415234570893054,0.29512520274158194,0.429806942618181,0.3054824187858873
extrap_factor> 0.2,0.08575380359612725,1322,57,0.42014893910755663,0.2986180571841505,0.41615104447528284,0.2957765802296867,0.42169827106813573,0.2997192345451697,0.415234570893054,0.29512520274158194,0.429806942618181,0.3054824187858873
extrap_factor> 0.217718,0.0,1446,57,0.4990657985648149,0.4990657985648149,0.5043765669793528,0.5043765669793528,0.5133788101380109,0.5133788101380109,0.3361589602385148,0.3361589602385148,0.5015204610738228,0.5015204610738228
extrap_factor> 0.25,0.0,1446,57,0.4990657985648149,0.4990657985648149,0.5043765669793528,0.5043765669793528,0.5133788101380109,0.5133788101380109,0.3361589602385148,0.3361589602385148,0.5015204610738228,0.5015204610738228
