strategy,lambda,abstain_rule,fraction_abstained,n_released,n_networks_released,network_balanced_regret,worst_network_regret,pooled_regret,top2_hit_rate,random_sd_netbal
best_fixed_xgboost,,none,0.0,1440,42,0.08149852237862493,0.42999223632334216,0.10394743535021789,0.9555555555555556,
global_CV,,none,0.0,1440,42,0.14661854787330905,0.42999223632334216,0.15249613393304295,0.9840277777777777,
per_network_CV,,none,0.0,1440,42,0.04795442405609981,0.23468681417634382,0.04348969897936485,0.9701388888888889,
gap_rule,,none,0.0,1440,42,0.10173776779022192,0.27423795058420924,0.10643221721444843,0.9576388888888889,
oracle,,none,0.0,1440,42,0.0,0.0,0.0,1.0,
proposed_l0,,none,0.0,1440,42,0.07379266482874484,0.36293083787467406,0.09576955565247544,0.9555555555555556,
proposed_l0.5,,none,0.0,1440,42,0.0731088888663766,0.36293083787467406,0.09515579164516236,0.9576388888888889,
proposed_l1,,none,0.0,1440,42,0.07408766560142874,0.36293083787467406,0.09563834543995253,0.9583333333333334,
proposed_l0_abstain,0.0,ambiguous10%,0.6444444444444445,512,40,0.02620858742789517,0.3803602104896333,0.08731626467883999,0.95703125,
proposed_l0.5_abstain,0.5,ambiguous10%,0.6395833333333333,519,42,0.027683390144375253,0.13848247912061348,0.031210979232958964,0.9518304431599229,
proposed_l1_abstain,1.0,ambiguous10%,0.6013888888888889,574,42,0.035000007933106106,0.13848247912061348,0.036930976204843,0.9494773519163763,
random,,none,0.0,1440,42,0.26200683116126877,0.6698573325171987,0.2812164408904618,0.6649652777777778,0.013634670215437511
