endpoint,mean,sd,p5,p50,p95
d_rho_sup,0.045722894636935775,0.0237746213530313,0.005964014632869265,0.04553653679044524,0.08444590466095177
d_cap_rand_b05,0.07138375567451584,0.007685685935624574,0.059446154736298884,0.07125190152137255,0.08362469167879814
d_cap_rand_b10,0.1038302328190436,0.01024336847481812,0.08702752326576806,0.10397214604989144,0.12078623513439678
d_cap_rand_b20,0.1611313727753619,0.014068209999189334,0.13961275071557364,0.16037943049112474,0.18542788282321604
d_cap_rand_b30,0.21851042286669006,0.014686813064386526,0.19393788471703716,0.21854435444823161,0.24234898722984083
d_ndcg_rand_b05,0.1811478861451797,0.03585351093962713,0.12170497635544561,0.1796145648431836,0.24361080101593985
d_ndcg_rand_b10,-0.08973499228657528,0.039377456865856,-0.15250902457933632,-0.09106073583537705,-0.02245681469629123
d_ndcg_rand_b20,-0.6989881987551013,0.05083104109667021,-0.7801649995969293,-0.6982715974695526,-0.6158498815325203
d_ndcg_rand_b30,-1.3895830801939701,0.0603801579369544,-1.4934992221990582,-1.3879920344197096,-1.2868071513109869
d_rho_therm,0.06288120176607018,0.05136587301731859,-0.02018759018759019,0.06184210526315789,0.14913268018531164
d_rho_net,0.3251363474320598,0.11144810394695628,0.15441081151153757,0.317085817993259,0.5178182525278713
