endpoint,anchor,effect_scale,margin,panel_size,power,mean_panel_effect
d_rho_sup,0.0379167143040195,0.5,0.01895835715200975,40,0.544,0.023471089282193745
d_rho_sup,0.0379167143040195,0.5,0.01895835715200975,60,0.532,0.020994462180972683
d_rho_sup,0.0379167143040195,0.5,0.01895835715200975,80,0.704,0.022537858747358266
d_rho_sup,0.0379167143040195,0.5,0.01895835715200975,100,0.8,0.022570971153979297
d_rho_sup,0.0379167143040195,0.5,0.01895835715200975,120,0.836,0.022949302046116525
d_rho_sup,0.0379167143040195,0.5,0.01895835715200975,140,0.872,0.022975479948795743
d_rho_sup,0.0379167143040195,0.5,0.01895835715200975,160,0.94,0.022885002706649074
d_rho_sup,0.0379167143040195,1.0,0.0379167143040195,40,0.484,0.04513487227620228
d_rho_sup,0.0379167143040195,1.0,0.0379167143040195,60,0.608,0.04580593775609523
d_rho_sup,0.0379167143040195,1.0,0.0379167143040195,80,0.716,0.04633780650639931
d_rho_sup,0.0379167143040195,1.0,0.0379167143040195,100,0.78,0.04545983519972983
d_rho_sup,0.0379167143040195,1.0,0.0379167143040195,120,0.868,0.04580226390454341
d_rho_sup,0.0379167143040195,1.0,0.0379167143040195,140,0.904,0.045848815964179196
d_rho_sup,0.0379167143040195,1.0,0.0379167143040195,160,0.932,0.04617710824491747
d_rho_sup,0.0379167143040195,1.5,0.056875071456029255,40,0.54,0.06747779499765608
d_rho_sup,0.0379167143040195,1.5,0.056875071456029255,60,0.556,0.06429207569922353
d_rho_sup,0.0379167143040195,1.5,0.056875071456029255,80,0.688,0.06639867548949564
d_rho_sup,0.0379167143040195,1.5,0.056875071456029255,100,0.792,0.06699787408943671
d_rho_sup,0.0379167143040195,1.5,0.056875071456029255,120,0.88,0.06915188435586449
d_rho_sup,0.0379167143040195,1.5,0.056875071456029255,140,0.876,0.06802341146776712
d_rho_sup,0.0379167143040195,1.5,0.056875071456029255,160,0.916,0.06674535172776623
d_cap_rand_b05,0.07824630696917584,0.5,0.03912315348458792,40,1.0,0.03627845849805243
