metric,label,n_common_support,n_placements_recon,n_placements_missing,n_placements_clim,mean_err_recon,mean_err_missing,mean_err_clim,mean_err_recon_own,mean_err_missing_own,mean_err_clim_own,netmedian_err_recon,netmedian_err_missing,netmedian_err_clim,ratio_recon_missing,ratio_recon_clim,share_recon_worse_than_clim,share_recon_worse_than_missing
annual_mean,annual mean (degC),1755,1755,1755,1755,0.09327719354911462,0.7534617635101003,0.10493127212570927,0.09327719354911462,0.7534617635101003,0.10493127212570927,0.0913505198251466,0.7912688490500226,0.09374052464635751,0.12379817804498877,0.8889360784396774,0.3128205128205128,0.035897435897435895
summer_mean,summer JJA mean (degC),1703,1754,1703,1754,0.09603459409039442,0.162623612530184,0.11603285378389014,0.1348803863920517,0.162623612530184,0.14685744026770178,0.06444802063098849,0.12016824034036898,0.11622463768115937,0.5905329035325038,0.8276500228914282,0.10275983558426306,0.08573106283029946
amplitude,amplitude Jul-Jan (degC),1171,1538,1171,1538,0.03068258341606191,0.0917143558446045,0.0777962532492556,0.2285770684804462,0.0917143558446045,0.2668929735904218,0.02756204823174244,0.10877901884387176,0.0940968529678207,0.33454504623080716,0.3943966725204147,0.05721605465414176,0.03928266438941076
phase_doy,phase (day of peak),1755,1755,1755,1755,2.4923076923076923,3.5874643874643874,2.921367521367521,2.4923076923076923,3.5874643874643874,2.921367521367521,2.36,3.8666666666666667,3.2622222222222224,0.6947268106734434,0.8531304856641311,0.044444444444444446,0.038176638176638175
p90,90th percentile (degC),1755,1755,1755,1755,0.14105204153903186,0.4688368866316718,0.14295771187456252,0.14105204153903186,0.4688368866316718,0.14295771187456252,0.1071713714599605,0.4440444444444443,0.10893333333333338,0.30085525597700113,0.9866696919631536,0.08547008547008547,0.07065527065527065
summer_max,summer maximum (degC),1703,1754,1703,1754,0.12432483427443837,0.1486254203811456,0.09428014733358249,0.20000456597648314,0.1486254203811456,0.14534625429366024,0.04961318333943683,0.06000000000000002,0.06000000000000002,0.8364977804981875,1.3186745862260016,0.02759835584263065,0.002935995302407516
exceed_days_20,days > 20 degC,1755,1755,1755,1755,2.2273504273504274,6.54928774928775,2.2387464387464386,2.2273504273504274,6.54928774928775,2.2387464387464386,2.0444444444444443,6.8,1.4,0.34009048199060377,0.9949096462204124,0.07293447293447293,0.010826210826210826
exceed_days_25,days > 25 degC,1755,1755,1755,1755,0.5156695156695157,0.6307692307692307,0.41082621082621085,0.5156695156695157,0.6307692307692307,0.41082621082621085,0.0,0.0,0.06222222222222222,0.8175248419150859,1.2552011095700415,0.006837606837606838,0.0
cdd10,degree days > 10 degC,1755,1755,1755,1755,21.7210177173222,157.72647631068276,23.494822122925513,21.7210177173222,157.72647631068276,23.494822122925513,19.356548813061828,149.39124278329226,22.776851851851866,0.13771319961866824,0.9245023266691392,0.22336182336182336,0.014245014245014245
trend_slope,trend slope (degC/yr),1755,1755,1755,1755,0.08306366802909415,0.6598619588889493,0.1235524819326207,0.08306366802909415,0.6598619588889493,0.1235524819326207,0.06413736556453695,0.5156320994326452,0.1024852918783544,0.12588037075050307,0.6722946130243899,0.2797720797720798,0.150997150997151
