metric,n_common,n_recon,n_missing,n_clim,median_err_recon,median_err_missing,median_err_clim
annual_mean,1755,1755,1755,1755,0.0913505198251466,0.7912688490500226,0.09374052464635751
summer_mean,1703,1754,1703,1754,0.06444802063098849,0.12016824034036898,0.11622463768115937
amplitude,1171,1538,1171,1538,0.02756204823174244,0.10877901884387176,0.0940968529678207
phase_doy,1755,1755,1755,1755,2.36,3.8666666666666667,3.2622222222222224
p90,1755,1755,1755,1755,0.1071713714599605,0.4440444444444443,0.10893333333333338
summer_max,1703,1754,1703,1754,0.04961318333943683,0.06000000000000002,0.06000000000000002
exceed_days_20,1755,1755,1755,1755,2.0444444444444443,6.8,1.4
exceed_days_25,1755,1755,1755,1755,0.0,0.0,0.06222222222222222
cdd10,1755,1755,1755,1755,19.356548813061828,149.39124278329226,22.776851851851866
trend_slope,1755,1755,1755,1755,0.06413736556453695,0.5156320994326452,0.1024852918783544
