panel,subset,domain,n_networks,n_stations,n_units
second,all,czechia,15,69,478
second,all,norway,10,41,265
second,all,united_states,32,114,703
second,all,TOTAL,57,224,1446
second,direct,czechia,15,69,276
second,direct,norway,10,41,164
second,direct,united_states,32,114,434
second,direct,TOTAL,57,224,874
second,horizon_group_direct,TOTAL,57,224,874
second,horizon_group_fallback,TOTAL,57,224,572
first,all,germany,11,65,444
first,all,netherlands,1,3,21
first,all,slovenia,12,47,329
first,all,switzerland,1,9,63
first,all,united_states,17,95,583
first,all,TOTAL,42,219,1440
first,direct,germany,11,65,260
first,direct,netherlands,1,3,12
first,direct,slovenia,12,47,188
first,direct,switzerland,1,9,36
first,direct,united_states,17,95,362
first,direct,TOTAL,42,219,858
first,horizon_group_direct,TOTAL,42,219,858
first,horizon_group_fallback,TOTAL,42,219,582
