grouping,min_stations,min_overlap_years,min_span_years,network_id,huc2,huc4,huc6,huc8,huc_key,n_stations,n_stations_available,site_ids,overlap_start,overlap_end,catalog_overlap_start,catalog_overlap_end,catalog_overlap_years,enough_overlap_years,max_pair_km,n_stations_with_coords,n_stations_missing_coords,coord_policy,coords_incomplete,distance_mode,river_names,river_name,states,flow_connected,spatially_proximate_not_flow_connected,temperature_record_unverified,sealed_outcomes_opened,never_sealed,never_sealed_v1_ids,historical_seen,nldi_origin_site_id,n_connected_stations,connected_site_ids,nldi_um_status,nldi_dm_status,climate_band,size_tertile,stratum,regulation_stratum,seed,assignment_sha256,split_role,split_table_sha256
huc8,3,8.0,8.0,huc8_03130001,03,0313,031300,03130001,03130001,28,31,"02330450,02334430,02334480,02334578,02334652,02334653,02334654,02334885,02335000,02335350,02335400,02335405,02335450,02335777,02335778,02335779,02335880,02336000,02336030,02336120,02336152,023362095,02336240,02336300,02336313,02336340,02336360,02336410",2018-04-30,2026-08-24,2018-04-30,2026-08-24,8.317590691307323,True,117.51736840705861,28,0,complete,False,uncapped,"BURNT FORK CR|CHATT R|CHATTAHOOCHEE R .18 MI US WILLEO CR|CHATTAHOOCHEE R 0.25 MI US WILLEO CR|CHATTAHOOCHEE R 0.27 MI US WILLEO CR|CHATTAHOOCHEE R 0.39 MI DS GA140|CHATTAHOOCHEE R 0.47 MI DS GA140|CHATTAHOOCHEE R 0.5 MI US MCGINNIS FY SUWANEE|CHATTAHOOCHEE R 0.76 MI US MCGINNIS FY SUWANEE GA|CHATTAHOOCHEE R 0.96 MI US MCGINNIS FY SUWANEE GA|CHATTAHOOCHEE RIVER|CROOKED CREEK|LEVEL CREEK|N.F. PEACHTREE CREEK|N.F. PEACHTREE CREEK, BUFORD HWY,|NANCY CREEK|PEACHTREE CREEK|RICHLAND CREEK|S.F. PEACHTREE CREEK JOHNSON RD,|SOUTH FORK PEACHTREE|SUWANEE CREEK|WOODALL CREEK",mixed,Georgia,partial,True,True,False,True,chattahoochee_upper_middle,True,02335405,14,"02330450,02334430,02334652,02334653,02334654,02335000,02335400,02335405,02335450,02335777,02335778,02335779,02335880,02336000",ok,ok,humid_subtropical,large,humid_subtropical|large,unknown_until_gages,20260826,251a0caf011d979a74688e9a838e456f54381ebcb2d6c6e977ce723c96478576,never_sealed_held_out,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_03070103,03,0307,030701,03070103,03070103,19,27,"02203603,02203655,02203831,02203863,02203873,02203900,02203950,02203960,02204037,02205865,02207120,02207135,02207160,02207185,02207385,02207400,02208150,02208450,02208493",2015-09-30,2026-08-25,2015-09-30,2026-08-25,10.902121834360027,True,59.148965882320425,19,0,complete,False,uncapped,ALCOVY RIVER|BIG HAYNES CREEK|BRUSHY FORK CREEK|COBBS CREEK|CORNISH CREEK|DOOLITTLE CREEK|LITTLE STONE MTN CR|NO BUSINESS CREEK|POLE BRIDGE CR|SHOAL CREEK|SNAPFINGER CR|SNAPFINGER CREEK|SOUTH RIVER|STONE MOUNTAIN CREEK|SWEETWATER CREEK|YELLOW RIVER,mixed,Georgia,not_queried,False,True,False,False,,False,,,,,,humid_subtropical,large,humid_subtropical|large,unknown_until_gages,20260826,c1c54425d0bf47537f250326096a77cc6aac939596434a8fa972daec3a5ef1cc,sealed,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_17090004,17,1709,170900,17090004,17090004,18,18,"14158500,14158740,14158790,14158798,14158850,14159100,14159110,14159200,14159500,14161100,14161500,14162200,14162500,14163150,14163900,14164550,14164700,14164900",2017-08-11,2026-07-20,2017-08-11,2026-07-20,8.93908281998631,True,83.66729130642824,18,0,complete,False,uncapped,"BLUE RIVER|CAMP CRK|CEDAR CREEK|HORSE CREEK|LOOKOUT CREEK|MCKENZIE R BLW TRAIL BR DAM|MCKENZIE RIVER|MCKENZIE RIVER BLW LEABURG DAM,|McKENZIE RIVER ABV HAYDEN BR,|SMITH RIVER|SMITH RIVER ABV TRAIL BRDG RESV|SO FK MCKENZIE RIVER ABV COUGAR LAKE|SOUTH FORK MCKENZIE RIVER",mixed,Oregon,not_queried,False,True,False,True,mckenzie_river_huc17,False,,,,,,marine_west_coast,large,marine_west_coast|large,unknown_until_gages,20260826,9739539f779dd0feed0b0d0f9a62a22a673e892a2b53c2be5d3d0c641a6afe4e,never_sealed_held_out,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_03080103,03,0308,030801,03080103,03080103,16,20,"02244040,02245340,022462002,02246459,02246500,02246518,02246751,02246804,300803081354500,301124081395901,301204081434900,301510081383500,301817081393600,302309081333001,302609081453300,302657081312400",2017-06-02,2025-12-07,2017-06-02,2025-12-07,8.514715947980836,True,96.08200562348493,16,0,complete,False,uncapped,BROWARD RIVER|CEDAR RIVER|CLAPBOARD CRK|DUNN CREEK|DURBIN CREEK|JULINGTON CRK|ORTEGA RIVER SALINITY|POTTSBURG CRK|ST JOHNS R BLW SHANDS BRIDGE|ST JOHNS R DAMES POINT BRIDGE|ST JOHNS RIVER|ST JOHNS RVR|ST. JOHNS R|ST. JOHNS RIVER|ST.JOHNS RIVER BUCKMAN BRIDGE|TROUT RIVER,mixed,Florida,not_queried,False,True,False,False,,False,,,,,,humid_subtropical,large,humid_subtropical|large,unknown_until_gages,20260826,a3e6c4ba435f59cd361d619167ebf21a65494b1d9fed9300119b3089e0ff1a64,validation,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_01090004,01,0109,010900,01090004,01090004,14,14,"01115098,01115110,01115114,01115120,01115170,01115183,01115184,01115187,01115190,01115265,01115275,01115276,01115280,01115297",2009-05-28,2023-10-17,2009-05-28,2023-10-17,14.387405886379192,True,10.98988331058802,14,0,complete,False,uncapped,BEAR TREE BROOK|CORK BK|DOLLY COLE BK|HEMLOCK BROOK|HUNTINGHOUSE BK|MOSWANSICUT STREAM|PEEPTOAD BROOK|PONAGANSET RIVER|QUONOPAUG BK|RUSH BROOK|SPRUCE BROOK|UNNAMED TRIB TO SCITUATE RES|WESTCONNAUG STREAM|WILBUR HOLLOW BK,mixed,Rhode Island,not_queried,False,True,False,False,,False,,,,,,humid_continental,large,humid_continental|large,unknown_until_gages,20260826,b7fbcfd868f749bc490e5a27ee9db77cdeede9bb5faf24870ed7871934696fcf,validation,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_03060109,03,0306,030601,03060109,03060109,14,14,"02198810,02198820,02198840,02198920,02198950,02198955,021989715,021989773,021989784,021989792,021989793,0219897945,0219897993,02198980",2014-02-28,2026-08-22,2014-02-28,2026-08-22,12.479123887748118,True,35.43011015521369,14,0,complete,False,uncapped,"ABERCORN CREEK|BACK RIVER 0.4 MI DOWNSTREAM US17,|L BACK RIVER|LITTLE BACK RIVER|MIDDLE RIVER|SAVANNAH RIVER|SAVANNAH RIVER I-95",mixed,"Georgia,South Carolina",not_queried,False,True,False,False,,False,,,,,,humid_subtropical,large,humid_subtropical|large,unknown_until_gages,20260826,25e414be41693d95aff89d6d31dde580048eb01d380d7ee14fc4f3c656390e34,development,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_05140102,05,0514,051401,05140102,05140102,14,14,"03293510,03297800,03297900,03298000,03298135,03298150,03298200,03298250,03298300,03301900,03301940,03302000,03302030,03302050",2013-09-30,2025-09-25,2013-09-30,2025-09-25,11.986310746064339,True,43.68955536189709,14,0,complete,False,uncapped,BEARGRASS CREEK|BRIER CREEK|CEDAR CREEK|CHENOWETH RUN|FERN CREEK|FLOYDS FORK|NORTHERN DITCH|PENN RUN|POND CREEK,mixed,Kentucky,not_queried,False,True,False,False,,False,,,,,,humid_continental,large,humid_continental|large,unknown_until_gages,20260826,d39f79b9cde1cc43cbe6c046823ca3a93992287bdff7ce2a306a97838efb02bf,sealed,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_03100207,03,0310,031002,03100207,03100207,12,12,"02310308,02310650,02310673,02310674,02310689,02310690,02310700,02310740,02310742,02310752,02313272,285531082412600",2017-05-05,2025-11-13,2017-05-05,2025-11-13,8.525667351129364,True,83.5952883805076,12,0,complete,False,uncapped,CHASSAHOWITZKA R|CHASSAHOWITZKA RIVER|CRYSTAL RIVER|CRYSTAL RV|HALLS RIVER|HOMOSASSA R|PITHLACHASCOTEE R|SALT RIVER|SARAGASSA CANAL|WITHLACOOCHEE R,mixed,Florida,not_queried,False,True,False,False,,False,,,,,,humid_subtropical,large,humid_subtropical|large,unknown_until_gages,20260826,a7543d55dd1dbd97e2fb8351d8a88f66ed50a2f1b5d94a3d1c4ecf52733dbc6b,sealed,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_17080001,17,1708,170800,17080001,17080001,11,11,"14138720,14138850,14138870,14138900,14139800,14140020,14141500,14142500,453439122223900,453630122021400,453845121564001",2007-06-02,2020-09-23,2007-06-02,2020-09-23,13.311430527036277,True,41.70470971496772,11,0,complete,False,uncapped,"BULL RUN R|BULL RUN RIVER|COLUMBIA RIVER|COLUMBIA RIVER, LEFT BANK,|COLUMBIA RIVER, RIGHT BANK,|FIR CREEK|LITTLE SANDY RIVER|NORTH FORK BULL RUN RIVER|SANDY RIVER BLW BULL RUN RIVER,|SOUTH FORK BULL RUN RIVER",mixed,"Oregon,Washington",not_queried,False,True,False,False,,False,,,,,,marine_west_coast,large,marine_west_coast|large,unknown_until_gages,20260826,035076deac55ef896be5434cb55adfa72a153c8ca0285fc223ad9a80fc8e3c0b,development,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_05040001,05,0504,050400,05040001,05040001,11,12,"03119341,03119971,03119979,03120820,03120869,03120961,03125338,03126395,03127980,03127986,03127989",2015-07-01,2026-08-24,2015-07-01,2026-08-24,11.148528405201917,True,55.19835352011083,11,0,complete,False,uncapped,Bear Hole Run|Beaverdam Run|Brushy Fork|Clear Fork|Indian Fork|McGuire Creek|North Fork McGuire Creek|Standingstone Fork|Stillwater Creek|Unnamed Tributary|Willow Run,mixed,Ohio,not_queried,False,True,False,False,,False,,,,,,humid_continental,large,humid_continental|large,unknown_until_gages,20260826,ae34b1d61f78ec0d643f70bde4af82a70229d60d7b4190a3585ee10cebd0f61a,development,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
